ลำดับ|ประเภท|กลุ่มอาชีพ|รหัส|ชื่อสายงาน|ชื่อตำแหน่งในสายงาน|ระดับ
170|ทั่วไป|2|42006|ปฏิบัติงานตรวจสอบบัญชี|เจ้าพนักงานตรวจสอบบัญชี|ปฏิบัติงาน-อาวุโส
171|ทั่วไป|2|42007|ปฏิบัติงานทรัพยากรธรณี|เจ้าพนักงานทรัพยากรธรณี|ปฏิบัติงาน-อาวุโส
172|ทั่วไป|2|42008|ปฏิบัติงานศุลกากร|เจ้าพนักงานศุลกากร|ปฏิบัติงาน-อาวุโส
173|ทั่วไป|2|42009|ปฏิบัติงานส่งเสริมสหกรณ์|เจ้าพนักงานส่งเสริมสหกรณ์|ปฏิบัติงาน-อาวุโส
174|ทั่วไป|2|42010|ปฏิบัติงานส่งเสริมอุตสาหกรรม|เจ้าพนักงานส่งเสริมอุตสาหกรรม|ปฏิบัติงาน-อาวุโส
175|ทั่วไป|2|42011|ปฏิบัติงานสรรพสามิต|เจ้าพนักงานสรรพสามิต|ปฏิบัติงาน-อาวุโส
176|ทั่วไป|2|42012|ปฏิบัติงานสรรพากร|เจ้าพนักงานสรรพากร|ปฏิบัติงาน-อาวุโส
177|ทั่วไป|3|43001|ปฏิบัติงานการข่าว|เจ้าพนักงานการข่าว|ปฏิบัติงาน-ชำนาญงาน
178|ทั่วไป|3|43002|ปฏิบัติงานขนส่ง|เจ้าพนักงานขนส่ง|ปฏิบัติงาน-อาวุโส
179|ทั่วไป|3|43003|ปฏิบัติงานเดินเรือ|เจ้าพนักงานเดินเรือ|ปฏิบัติงาน-ชำนาญงาน
180|ทั่วไป|3|43004|ปฏิบัติงานเผยแพร่ประชาสัมพันธ์|เจ้าพนักงานเผยแพร่ประชาสัมพันธ์|ปฏิบัติงาน-อาวุโส
181|ทั่วไป|3|43005|ปฏิบัติงานสื่อสาร|เจ้าพนักงานสื่อสาร|ปฏิบัติงาน-อาวุโส
182|ทั่วไป|3|43006|ปฏิบัติงานสื่อสารการบิน|เจ้าพนักงานสื่อสารการบิน|ปฏิบัติงาน-ชำนาญงาน
183|ทั่วไป|3|43007|ปฏิบัติงานโสตทัศนศึกษา|เจ้าพนักงานโสตทัศนศึกษา|ปฏิบัติงาน-อาวุโส
184|ทั่วไป|3|43008|ประกาศและรายงานข่าว|ผู้ประกาศและรายงานข่าว|ปฏิบัติงาน-ชำนาญงาน
185|ทั่วไป|4|44001|ปฏิบัติงานการเกษตร|เจ้าพนักงานการเกษตร|ปฏิบัติงาน-อาวุโส
186|ทั่วไป|4|44002|ปฏิบัติงานเคหกิจการเกษตร|เจ้าพนักงานเคหกิจการเกษตร|ปฏิบัติงาน-อาวุโส
